Stock Name,Symbol
Max Healthcare Institute Ltd.,MAXHEALTH.NS
Power Finance Corporation Ltd.,PFC.NS
Indian Hotels Co. Ltd.,INDHOTEL.NS
REC Ltd.,RECLTD.NS
Federal Bank Ltd.,FEDERALBNK.NS
AU Small Finance Bank Ltd.,AUBANK.NS
Tube Investments of India Ltd.,TIINDIA.NS
Coforge Ltd.,COFORGE.NS
IDFC First Bank Ltd.,IDFCFIRSTB.NS
Yes Bank Ltd.,YESBANK.NS
Persistent Systems Ltd.,PERSISTENT.NS
Adani Power Ltd.,ADANIPOWER.NS
APL Apollo Tubes Ltd.,APLAPOLLO.NS
CG Power and Industrial Solutions Ltd.,CGPOWER.NS
Lupin Ltd.,LUPIN.NS
Bharat Forge Ltd.,BHARATFORG.NS
HDFC Asset Management Company Ltd.,HDFCAMC.NS
Aurobindo Pharma Ltd.,AUROPHARMA.NS
Ashok Leyland Ltd.,ASHOKLEY.NS
Tata Elxsi Ltd.,TATAELXSI.NS
Polycab India Ltd.,POLYCAB.NS
Zee Entertainment Enterprises Ltd.,ZEEL.NS
Sona BLW Precision Forgings Ltd.,SONACOMS.NS
Page Industries Ltd.,PAGEIND.NS
Cummins India Ltd.,CUMMINSIND.NS
Astral Ltd.,ASTRAL.NS
Tata Communications Ltd.,TATACOMM.NS
MRF Ltd.,MRF.NS
Max Financial Services Ltd.,MFSL.NS
FSN E-Commerce Ventures Ltd.,NYKAA.NS
Balkrishna Industries Ltd.,BALKRISIND.NS
Jubilant Foodworks Ltd.,JUBLFOOD.NS
PB Fintech Ltd.,POLICYBZR.NS
Crompton Greaves Consumer Electricals,CROMPTON.NS
MphasiS Ltd.,MPHASIS.NS
Container Corporation of India Ltd.,CONCOR.NS
Dixon Technologies (India) Ltd.,DIXON.NS
Voltas Ltd.,VOLTAS.NS
Macrotech Developers Ltd.,LODHA.NS
One 97 Communications Ltd.,PAYTM.NS
Dalmia Bharat Ltd.,DALBHARAT.NS
Bandhan Bank Ltd.,BANDHANBNK.NS
KPIT Technologies Ltd.,KPITTECH.NS
Union Bank of India,UNIONBANK.NS
JSW Energy Ltd.,JSWENERGY.NS
Petronet LNG Ltd.,PETRONET.NS
Mahindra & Mahindra Financial Services,M&MFIN.NS
Alkem Laboratories Ltd.,ALKEM.NS
Fortis Healthcare Ltd.,FORTIS.NS
Godrej Properties Ltd.,GODREJPROP.NS
Bharat Heavy Electricals Ltd.,BHEL.NS
NMDC Ltd.,NMDC.NS
ACC Ltd.,ACC.NS
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS
Tata Chemicals Ltd.,TATACHEM.NS
Indraprastha Gas Ltd.,IGL.NS
Laurus Labs Ltd.,LAURUSLABS.NS
Delhivery Ltd.,DELHIVERY.NS
Deepak Nitrite Ltd.,DEEPAKNTR.NS
NHPC Ltd.,NHPC.NS
Syngene International Ltd.,SYNGENE.NS
Indian Railway Finance Corporation Ltd.,IRFC.NS
LIC Housing Finance Ltd.,LICHSGFIN.NS
Piramal Enterprises Ltd.,PEL.NS
Coromandel International Ltd.,COROMANDEL.NS
Oberoi Realty Ltd.,OBEROIRLTY.NS
Steel Authority of India Ltd.,SAIL.NS
Navin Fluorine International Ltd.,NAVINFLUOR.NS
Aditya Birla Capital Ltd.,ABCAPITAL.NS
Ipca Laboratories Ltd.,IPCALAB.NS
L&T Technology Services Ltd.,LTTS.NS
Indus Towers Ltd.,INDUSTOWER.NS
Torrent Power Ltd.,TORNTPOWER.NS
Apollo Tyres Ltd.,APOLLOTYRE.NS
Biocon Ltd.,BIOCON.NS
Gujarat Fluorochemicals Ltd.,FLUOROCHEM.NS
The Ramco Cements Ltd.,RAMCOCEM.NS
Gland Pharma Ltd.,GLAND.NS
United Breweries Ltd.,UBL.NS
Motherson Sumi Wiring India Ltd.,MSUMI.NS
Poonawalla Fincorp Ltd.,POONAWALLA.NS
Escorts Kubota Ltd.,ESCORTS.NS
Indian Bank,INDIANB.NS
Oil India Ltd.,OIL.NS
Bata India Ltd.,BATAINDIA.NS
L&T Finance Holdings Ltd.,L&TFH.NS
Rail Vikas Nigam Ltd.,RVNL.NS
Dr. Lal Path Labs Ltd.,LALPATHLAB.NS
Vodafone Idea Ltd.,IDEA.NS
Bank of India,BANKINDIA.NS
Patanjali Foods Ltd.,PATANJALI.NS
Prestige Estates Projects Ltd.,PRESTIGE.NS
Devyani International Ltd.,DEVYANI.NS
Aditya Birla Fashion and Retail Ltd.,ABFRL.NS
Gujarat Gas Ltd.,GUJGASLTD.NS
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS
Mankind Pharma Ltd.,MANKIND.NS
Sun TV Network Ltd.,SUNTV.NS
Bharat Dynamics Ltd.,BDL.NS
Fertilisers and Chemicals Travancore,FACT.NS
