Company,Symbol
BEML Ltd.,BEML.NS
KFIN Technologies Ltd.,KFINTECH.NS
Garden Reach Shipbuilders & Engineers Ltd.,GRSE.NS
Kaynes Technology India Ltd.,KAYNES.NS
IFCI Ltd.,IFCI.NS
Go Digit General Insurance Ltd.,GODIGIT.NS
Railtel Corporation of India Ltd.,RAILTEL.NS
Computer Age Management Services Ltd.,CAMS.NS
Multi Commodity Exchange of India Ltd.,MCX.NS
Welspun Corp Ltd.,WELCORP.NS
Inox Wind Ltd.,INOXWIND.NS
HBL Engineering Ltd.,HBLPOWER.NS
Manappuram Finance Ltd.,MANAPPURAM.NS
Central Depository Services (India) Ltd.,CDSL.NS
Piramal Enterprises Ltd.,PEL.NS
Titagarh Rail Systems Ltd.,TITAGARH.NS
HFCL Ltd.,HFCL.NS
NBCC (India) Ltd.,NBCC.NS
BLS International Services Ltd.,BLS.NS
Karur Vysya Bank Ltd.,KARURVYSYA.NS
IDBI Bank Ltd.,IDBI.NS
Ircon International Ltd.,IRCON.NS
Jupiter Wagons Ltd.,JWL.NS
IndiaMART InterMESH Ltd.,INDIAMART.NS
Birlasoft Ltd.,BSOFT.NS
Data Patterns (India) Ltd.,DATAPATTNS.NS
Himadri Speciality Chemical Ltd.,HSCL.NS
ITI Ltd.,ITI.NS
Great Eastern Shipping Company Ltd.,GESHIP.NS
Sagility India Ltd.,SAGILITY.NS
Indian Energy Exchange Ltd.,IEX.NS
Piramal Pharma Ltd.,PPLPHARMA.NS
Swan Energy Ltd.,SWANENERGY.NS
Angel One Ltd.,ANGELONE.NS
Hindustan Copper Ltd.,HINDCOPPER.NS
Brigade Enterprises Ltd.,BRIGADE.NS
Dr. Lal Pathlabs Ltd.,LALPATHLAB.NS
Anant Raj Ltd.,ANANTRAJ.NS
Trident Ltd.,TRIDENT.NS
Navin Fluorine International Ltd.,NAVINFLUOR.NS
Cyient Ltd.,CYIENT.NS
Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS
The Ramco Cements Ltd.,RAMCOCEM.NS
Rites Ltd.,RITES.NS
Reliance Power Ltd.,RPOWER.NS
Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT.NS
Amber Enterprises India Ltd.,AMBER.NS
CESC Ltd.,CESC.NS
Castrol India Ltd.,CASTROLIND.NS
Aadhar Housing Finance Ltd.,AADHARHFC.NS
Action Construction Equipment Ltd.,ACE.NS
Sonata Software Ltd.,SONATSOFTW.NS
Neuland Laboratories Ltd.,NEULANDLAB.NS
Tejas Networks Ltd.,TEJASNET.NS
Nuvama Wealth Management Ltd.,NUVAMA.NS
Gujarat State Petronet Ltd.,GSPL.NS
NCC Ltd.,NCC.NS
Poonawalla Fincorp Ltd.,POONAWALLA.NS
Aarti Industries Ltd.,AARTIIND.NS
Tata Chemicals Ltd.,TATACHEM.NS
Zen Technologies Ltd.,ZENTEC.NS
PNB Housing Finance Ltd.,PNBHOUSING.NS
Shyam Metalics and Energy Ltd.,SHYAMMETL.NS
KEC International Ltd.,KEC.NS
IIFL Finance Ltd.,IIFL.NS
Affle 3I Ltd.,AFFLE.NS
Delhivery Ltd.,DELHIVERY.NS
Afcons Infrastructure Ltd.,AFCONSINFRA.NS
Firstsource Solutions Ltd.,FSL.NS
PCBL Chemical Ltd.,PCBL.NS
Narayana Hrudayalaya Ltd.,NH.NS
Godfrey Phillips India Ltd.,GODFRYPHLP.NS
Aegis Logistics Ltd.,AEGISCHEM.NS
Mahanagar Gas Ltd.,MGL.NS
Zensar Technologies Ltd.,ZENSARTECH.NS
Laurus Labs Ltd.,LAURUSLABS.NS
Bata India Ltd.,BATAINDIA.NS
Welspun Living Ltd.,WELLSPUNLIV.NS
Triveni Turbine Ltd.,TRITURBINE.NS
Amara Raja Energy & Mobility Ltd.,ARE&M.NS
Tata Teleservices (Maharashtra) Ltd.,TTML.NS
Aditya Birla Real Estate Ltd.,ADITYAREAL.NS
CreditAccess Grameen Ltd.,CREDITACC.NS
Radico Khaitan Ltd.,RADICO.NS
International Gemmological Institute (India) Ltd.,IGI.NS
PG Electroplast Ltd.,PGEL.NS
Newgen Software Technologies Ltd.,NEWGEN.NS
JBM Auto Ltd.,JBMA.NS
Signatureglobal (India) Ltd.,SIGNATURE.NS
Inventurus Knowledge Solutions Ltd.,IKSL.NS
PVR INOX Ltd.,PVRINOX.NS
Five-Star Business Finance Ltd.,FIVESTAR.NS
Natco Pharma Ltd.,NATCOPHARM.NS
Atul Ltd.,ATUL.NS
Devyani International Ltd.,DEVYANI.NS
Ramkrishna Forgings Ltd.,RKFORGE.NS
Brainbees Solutions Ltd.,FIRSTCRY.NS
Aster DM Healthcare Ltd.,ASTERDM.NS
Redington Ltd.,REDINGTON.NS
Kalpataru Projects International Ltd.,KPIL.NS
